#options: 940x489 fps=15/1 timebase=1/15 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=6 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:34 type:b dur:2 cpbdur:2 q:19.44 aq:4.00 tex:80 mv:69 misc:219 imb:0 pmb:17 smb:1812 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:17.54 aq:0.37 tex:2625 mv:317 misc:466 imb:1016 pmb:4 smb:809 d:s ref:0 ;
in:36 out:36 type:I dur:2 cpbdur:2 q:20.81 aq:4.07 tex:171441 mv:8001 misc:126 imb:1829 pmb:0 smb:0 d:s ref:;
in:40 out:37 type:P dur:2 cpbdur:2 q:20.45 aq:6.77 tex:17409 mv:506 misc:453 imb:90 pmb:49 smb:1690 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:20.45 aq:4.00 tex:18 mv:81 misc:245 imb:0 pmb:33 smb:1796 d:s ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:20.45 aq:5.00 tex:20 mv:77 misc:239 imb:0 pmb:33 smb:1796 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:20.45 aq:5.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1829 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:19.10 aq:8.74 tex:11955 mv:259 misc:538 imb:17 pmb:82 smb:1730 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:19.78 aq:14.35 tex:2926 mv:204 misc:238 imb:9 pmb:42 smb:1778 d:s ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:20.11 aq:18.92 tex:881 mv:84 misc:227 imb:0 pmb:22 smb:1807 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:19.44 aq:16.47 tex:445 mv:83 misc:240 imb:0 pmb:23 smb:1806 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:17.43 aq:7.94 tex:23519 mv:376 misc:665 imb:17 pmb:126 smb:1686 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:18.27 aq:11.39 tex:1083 mv:92 misc:217 imb:1 pmb:19 smb:1809 d:s ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:18.69 aq:4.00 tex:21 mv:80 misc:203 imb:0 pmb:20 smb:1809 d:t ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:17.85 aq:3.00 tex:6 mv:17 misc:185 imb:0 pmb:2 smb:1827 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:15.35 aq:7.45 tex:27293 mv:290 misc:689 imb:14 pmb:183 smb:1632 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:16.39 aq:10.62 tex:458 mv:23 misc:207 imb:0 pmb:3 smb:1826 d:s ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:16.91 aq:2.00 tex:9 mv:21 misc:186 imb:0 pmb:3 smb:1826 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:15.87 aq:1.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:1829 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:13.95 aq:6.52 tex:20795 mv:291 misc:714 imb:25 pmb:125 smb:1679 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:14.65 aq:5.87 tex:7068 mv:191 misc:245 imb:1 pmb:18 smb:1810 d:s ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:15.00 aq:11.96 tex:561 mv:77 misc:210 imb:0 pmb:17 smb:1812 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:14.30 aq:14.94 tex:7585 mv:377 misc:254 imb:31 pmb:39 smb:1759 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:12.71 aq:6.48 tex:5378 mv:209 misc:485 imb:16 pmb:49 smb:1764 d:s ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:13.33 aq:7.66 tex:5359 mv:75 misc:238 imb:7 pmb:7 smb:1815 d:s ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:13.64 aq:17.89 tex:580 mv:82 misc:202 imb:0 pmb:9 smb:1820 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:13.02 aq:0.00 tex:32 mv:51 misc:189 imb:0 pmb:10 smb:1819 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:12.07 aq:11.07 tex:52247 mv:159 misc:554 imb:4 pmb:154 smb:1671 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:12.39 aq:2.23 tex:287 mv:129 misc:496 imb:0 pmb:96 smb:1733 d:s ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:12.55 aq:1.76 tex:61 mv:10 misc:193 imb:0 pmb:2 smb:1827 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:12.23 aq:12.83 tex:512 mv:146 misc:486 imb:0 pmb:101 smb:1728 d:- ref:0 ;
in:65 out:65 type:I dur:2 cpbdur:2 q:14.05 aq:1.72 tex:549371 mv:14824 misc:133 imb:1829 pmb:0 smb:0 d:s ref:;
in:69 out:66 type:P dur:2 cpbdur:2 q:15.64 aq:4.60 tex:188313 mv:769 misc:822 imb:138 pmb:118 smb:1573 d:s ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:15.64 aq:7.78 tex:704 mv:113 misc:391 imb:0 pmb:47 smb:1782 d:s ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:15.64 aq:17.23 tex:872 mv:111 misc:385 imb:0 pmb:46 smb:1783 d:s ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:15.64 aq:12.18 tex:701 mv:25 misc:210 imb:0 pmb:5 smb:1824 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:15.80 aq:6.42 tex:5452 mv:108 misc:568 imb:1 pmb:73 smb:1755 d:s ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:15.72 aq:10.77 tex:781 mv:33 misc:218 imb:0 pmb:5 smb:1824 d:s ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:15.68 aq:11.15 tex:360 mv:24 misc:208 imb:0 pmb:4 smb:1825 d:s ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:15.76 aq:10.70 tex:873 mv:69 misc:194 imb:0 pmb:5 smb:1824 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:14.72 aq:5.90 tex:12148 mv:211 misc:737 imb:8 pmb:117 smb:1704 d:s ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:15.26 aq:11.90 tex:1633 mv:138 misc:229 imb:5 pmb:10 smb:1814 d:s ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:15.53 aq:11.86 tex:625 mv:92 misc:211 imb:0 pmb:12 smb:1817 d:s ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:14.99 aq:9.73 tex:1181 mv:85 misc:206 imb:0 pmb:11 smb:1818 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:14.24 aq:6.05 tex:10251 mv:214 misc:567 imb:11 pmb:64 smb:1754 d:s ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:14.48 aq:7.12 tex:1377 mv:84 misc:235 imb:0 pmb:14 smb:1815 d:s ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:14.60 aq:0.00 tex:12 mv:28 misc:192 imb:0 pmb:4 smb:1825 d:s ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:14.36 aq:7.50 tex:1335 mv:97 misc:216 imb:1 pmb:15 smb:1813 d:- ref:0 ;
in:85 out:82 type:P dur:2 cpbdur:2 q:12.42 aq:4.69 tex:31137 mv:265 misc:902 imb:10 pmb:255 smb:1564 d:s ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:13.33 aq:5.34 tex:926 mv:54 misc:212 imb:0 pmb:7 smb:1822 d:s ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:13.79 aq:0.00 tex:16 mv:37 misc:211 imb:0 pmb:6 smb:1823 d:s ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:12.88 aq:10.84 tex:538 mv:33 misc:189 imb:0 pmb:4 smb:1825 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:11.12 aq:3.61 tex:339407 mv:611 misc:878 imb:38 pmb:422 smb:1369 d:s ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:11.77 aq:9.40 tex:6468 mv:271 misc:701 imb:0 pmb:191 smb:1638 d:s ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:12.10 aq:3.90 tex:207 mv:160 misc:665 imb:0 pmb:173 smb:1656 d:s ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:11.44 aq:4.90 tex:1606 mv:134 misc:244 imb:1 pmb:24 smb:1804 d:- ref:0 ;
in:93 out:90 type:P dur:2 cpbdur:2 q:10.73 aq:3.46 tex:284906 mv:697 misc:829 imb:24 pmb:402 smb:1403 d:s ref:0 ;
in:91 out:91 type:B dur:2 cpbdur:2 q:10.93 aq:4.50 tex:1600 mv:179 misc:693 imb:0 pmb:171 smb:1658 d:s ref:0 ;
in:90 out:92 type:b dur:2 cpbdur:2 q:11.02 aq:8.17 tex:8182 mv:595 misc:687 imb:6 pmb:193 smb:1630 d:s ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:10.83 aq:6.31 tex:626 mv:8 misc:198 imb:0 pmb:7 smb:1822 d:- ref:0 ;
in:97 out:94 type:P dur:2 cpbdur:2 q:9.93 aq:3.83 tex:35239 mv:173 misc:980 imb:4 pmb:310 smb:1515 d:s ref:0 ;
in:95 out:95 type:B dur:2 cpbdur:2 q:10.33 aq:0.00 tex:0 mv:0 misc:192 imb:0 pmb:0 smb:1829 d:s ref:0 ;
in:94 out:96 type:b dur:2 cpbdur:2 q:10.53 aq:0.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:1829 d:s ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:10.13 aq:0.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:1829 d:- ref:0 ;
in:101 out:98 type:P dur:2 cpbdur:2 q:9.58 aq:3.51 tex:262250 mv:231 misc:855 imb:7 pmb:380 smb:1442 d:s ref:0 ;
in:99 out:99 type:B dur:2 cpbdur:2 q:9.75 aq:6.43 tex:500 mv:153 misc:707 imb:0 pmb:183 smb:1646 d:s ref:0 ;
in:98 out:100 type:b dur:2 cpbdur:2 q:9.84 aq:0.00 tex:4 mv:10 misc:186 imb:0 pmb:1 smb:1828 d:s ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:9.67 aq:0.00 tex:38 mv:161 misc:657 imb:0 pmb:171 smb:1658 d:- ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:9.95 aq:3.79 tex:260525 mv:535 misc:740 imb:41 pmb:337 smb:1451 d:s ref:0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:9.76 aq:6.09 tex:4435 mv:241 misc:708 imb:0 pmb:187 smb:1642 d:s ref:0 ;
in:102 out:104 type:b dur:2 cpbdur:2 q:9.67 aq:7.65 tex:1310 mv:111 misc:243 imb:0 pmb:25 smb:1804 d:s ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:9.86 aq:8.06 tex:10538 mv:272 misc:678 imb:0 pmb:186 smb:1643 d:- ref:0 ;
in:109 out:106 type:P dur:2 cpbdur:2 q:11.49 aq:5.04 tex:26332 mv:231 misc:517 imb:17 pmb:79 smb:1733 d:s ref:0 ;
in:107 out:107 type:B dur:2 cpbdur:2 q:10.72 aq:8.09 tex:2136 mv:149 misc:307 imb:0 pmb:40 smb:1789 d:s ref:0 ;
in:106 out:108 type:b dur:2 cpbdur:2 q:10.33 aq:9.38 tex:2133 mv:191 misc:284 imb:6 pmb:36 smb:1787 d:s ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:11.11 aq:0.00 tex:13 mv:29 misc:190 imb:0 pmb:4 smb:1825 d:- ref:0 ;
in:113 out:110 type:P dur:2 cpbdur:2 q:11.39 aq:4.62 tex:2714 mv:91 misc:339 imb:0 pmb:23 smb:1806 d:s ref:0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:11.44 aq:0.00 tex:10 mv:23 misc:207 imb:0 pmb:3 smb:1826 d:t ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:11.47 aq:0.00 tex:8 mv:17 misc:191 imb:0 pmb:2 smb:1827 d:s ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:11.42 aq:0.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:1829 d:- ref:0 ;
in:117 out:114 type:P dur:2 cpbdur:2 q:11.97 aq:0.00 tex:0 mv:0 misc:200 imb:0 pmb:0 smb:1829 d:s ref:0 ;
in:115 out:115 type:B dur:2 cpbdur:2 q:11.68 aq:0.00 tex:0 mv:0 misc:192 imb:0 pmb:0 smb:1829 d:s ref:0 ;
in:114 out:116 type:b dur:2 cpbdur:2 q:11.54 aq:0.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:1829 d:s ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:11.82 aq:0.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:1829 d:- ref:0 ;
in:121 out:118 type:P dur:2 cpbdur:2 q:11.77 aq:1.79 tex:566026 mv:4211 misc:291 imb:1686 pmb:143 smb:0 d:s ref:0 w:5,43,-128,5,23,36,21,44 ;
in:119 out:119 type:B dur:2 cpbdur:2 q:11.87 aq:5.39 tex:9989 mv:161 misc:250 imb:6 pmb:19 smb:1804 d:s ref:0 ;
in:118 out:120 type:b dur:2 cpbdur:2 q:11.92 aq:6.60 tex:2756 mv:87 misc:205 imb:4 pmb:12 smb:1813 d:s ref:0 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:11.82 aq:6.44 tex:106791 mv:3722 misc:671 imb:360 pmb:188 smb:1281 d:- ref:0 ;
in:124 out:122 type:P dur:2 cpbdur:2 q:16.31 aq:3.28 tex:206947 mv:2451 misc:370 imb:563 pmb:392 smb:874 d:s ref:0 w:6,69,-20 ;
in:122 out:123 type:B dur:2 cpbdur:2 q:13.28 aq:6.60 tex:2577 mv:264 misc:455 imb:5 pmb:94 smb:1730 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:14.79 aq:9.37 tex:1056 mv:121 misc:255 imb:0 pmb:21 smb:1808 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:16.37 aq:6.85 tex:21200 mv:284 misc:1028 imb:13 pmb:262 smb:1554 d:s ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:16.34 aq:7.98 tex:1846 mv:80 misc:266 imb:1 pmb:18 smb:1810 d:s ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:16.32 aq:8.93 tex:1681 mv:80 misc:255 imb:1 pmb:19 smb:1809 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:16.35 aq:8.84 tex:1171 mv:61 misc:232 imb:0 pmb:10 smb:1819 d:- ref:0 ;
in:130 out:129 type:P dur:2 cpbdur:2 q:15.51 aq:5.74 tex:23087 mv:255 misc:994 imb:12 pmb:268 smb:1549 d:s ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:15.94 aq:9.93 tex:807 mv:40 misc:209 imb:0 pmb:9 smb:1820 d:s ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:15.21 aq:6.46 tex:12030 mv:241 misc:825 imb:13 pmb:142 smb:1674 d:s ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:15.36 aq:6.35 tex:1851 mv:66 misc:235 imb:3 pmb:6 smb:1820 d:s ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:15.43 aq:6.46 tex:911 mv:78 misc:203 imb:0 pmb:8 smb:1821 d:s ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:15.28 aq:7.10 tex:723 mv:47 misc:206 imb:0 pmb:7 smb:1822 d:- ref:0 ;
in:138 out:135 type:P dur:2 cpbdur:2 q:12.31 aq:3.17 tex:76963 mv:380 misc:825 imb:25 pmb:405 smb:1399 d:s ref:0 ;
in:136 out:136 type:B dur:2 cpbdur:2 q:13.76 aq:3.53 tex:629 mv:56 misc:251 imb:0 pmb:11 smb:1818 d:s ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:14.48 aq:6.14 tex:555 mv:69 misc:224 imb:0 pmb:9 smb:1820 d:s ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:13.04 aq:5.13 tex:262 mv:46 misc:188 imb:0 pmb:2 smb:1827 d:- ref:0 ;
in:142 out:139 type:P dur:2 cpbdur:2 q:11.23 aq:2.76 tex:67154 mv:200 misc:854 imb:6 pmb:348 smb:1475 d:s ref:0 ;
in:140 out:140 type:B dur:2 cpbdur:2 q:11.77 aq:2.69 tex:1610 mv:31 misc:239 imb:1 pmb:7 smb:1821 d:s ref:0 ;
in:139 out:141 type:b dur:2 cpbdur:2 q:12.04 aq:1.34 tex:421 mv:41 misc:210 imb:0 pmb:4 smb:1825 d:s ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:11.50 aq:1.67 tex:1171 mv:88 misc:221 imb:0 pmb:7 smb:1822 d:- ref:0 ;
in:146 out:143 type:P dur:2 cpbdur:2 q:10.71 aq:2.41 tex:44261 mv:196 misc:871 imb:6 pmb:274 smb:1549 d:s ref:0 ;
in:144 out:144 type:B dur:2 cpbdur:2 q:10.97 aq:4.76 tex:2135 mv:30 misc:243 imb:1 pmb:7 smb:1821 d:s ref:0 ;
in:143 out:145 type:b dur:2 cpbdur:2 q:11.10 aq:1.58 tex:1211 mv:31 misc:206 imb:0 pmb:6 smb:1823 d:s ref:0 ;
in:145 out:146 type:b dur:2 cpbdur:2 q:10.84 aq:4.90 tex:2042 mv:51 misc:211 imb:0 pmb:6 smb:1823 d:- ref:0 ;
in:150 out:147 type:P dur:2 cpbdur:2 q:10.64 aq:1.05 tex:219864 mv:1600 misc:584 imb:337 pmb:452 smb:1040 d:s ref:0 ;
in:148 out:148 type:B dur:2 cpbdur:2 q:10.68 aq:2.26 tex:1595 mv:213 misc:656 imb:0 pmb:148 smb:1681 d:s ref:0 ;
in:147 out:149 type:b dur:2 cpbdur:2 q:10.69 aq:0.91 tex:1470 mv:46 misc:204 imb:0 pmb:6 smb:1823 d:s ref:0 ;
in:149 out:150 type:b dur:2 cpbdur:2 q:10.66 aq:2.56 tex:1298 mv:177 misc:485 imb:0 pmb:101 smb:1728 d:- ref:0 ;
in:154 out:151 type:P dur:2 cpbdur:2 q:10.56 aq:1.73 tex:31932 mv:313 misc:963 imb:17 pmb:340 smb:1472 d:s ref:0 ;
in:152 out:152 type:B dur:2 cpbdur:2 q:10.60 aq:0.19 tex:1742 mv:70 misc:308 imb:1 pmb:16 smb:1812 d:s ref:0 ;
in:151 out:153 type:b dur:2 cpbdur:2 q:10.62 aq:1.48 tex:1575 mv:49 misc:248 imb:0 pmb:12 smb:1817 d:s ref:0 ;
in:153 out:154 type:b dur:2 cpbdur:2 q:10.58 aq:1.55 tex:1137 mv:25 misc:206 imb:0 pmb:5 smb:1824 d:- ref:0 ;
in:158 out:155 type:P dur:2 cpbdur:2 q:10.22 aq:1.68 tex:30583 mv:179 misc:862 imb:6 pmb:222 smb:1601 d:s ref:0 ;
in:156 out:156 type:B dur:2 cpbdur:2 q:10.39 aq:1.83 tex:864 mv:48 misc:240 imb:0 pmb:7 smb:1822 d:s ref:0 ;
in:155 out:157 type:b dur:2 cpbdur:2 q:10.48 aq:4.15 tex:1260 mv:51 misc:225 imb:0 pmb:7 smb:1822 d:s ref:0 ;
in:157 out:158 type:b dur:2 cpbdur:2 q:10.30 aq:2.24 tex:528 mv:39 misc:217 imb:0 pmb:5 smb:1824 d:- ref:0 ;
in:162 out:159 type:P dur:2 cpbdur:2 q:10.24 aq:1.67 tex:13286 mv:161 misc:817 imb:5 pmb:150 smb:1674 d:s ref:0 ;
in:160 out:160 type:B dur:2 cpbdur:2 q:10.23 aq:4.68 tex:1440 mv:28 misc:244 imb:0 pmb:7 smb:1822 d:s ref:0 ;
in:159 out:161 type:b dur:2 cpbdur:2 q:10.22 aq:2.14 tex:297 mv:44 misc:227 imb:0 pmb:6 smb:1823 d:s ref:0 ;
in:161 out:162 type:b dur:2 cpbdur:2 q:10.24 aq:1.97 tex:1309 mv:54 misc:229 imb:0 pmb:7 smb:1822 d:- ref:0 ;
